Transaction ID,Customer ID,Purchase Date,Age,Gender,Location,Online/Offline,Online Store,Category,Item Purchased,Brand,Color,Size,Quantity,Purchase Amount (₹),Discount (%),Festival/Sale,Shipping Charge (₹),Delivery Speed,Delivery Time (Days),Subscription Status,Payment Method,Review Rating,Return Status,Previous Purchases,season,age_group
TXN500423,CUST002603,2023-01-04,59,Female,Kochi,Online,Ajio,Footwear,Sneakers,Puma,White,8,1,10036,6,Standard Day,60,Same Day,0,No,Credit Card,5,Not Returned,1,winter,Adult
TXN501017,CUST000036,2023-01-04,61,Male,Kochi,Offline,In-Store Purchase,Clothing,Jacket,Puma,Red,L,3,6705,12,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,3,Not Returned,4,winter,Adult
TXN501937,CUST000628,2023-01-04,55,Male,Chennai,Offline,In-Store Purchase,Footwear,Running Shoes,Nike,Red,8,1,16566,21,In-Store Festival Offer,0,N/A (Offline),0,No,Cash,4,Not Returned,0,winter,Adult
TXN502180,CUST003357,2023-01-04,56,Female,Kolkata,Online,Meesho,Accessories,Cap,Fastrack,Red,Free Size,1,438,8,Standard Day,40,Express,1,No,UPI,4,Not Returned,8,winter,Adult
TXN502455,CUST002875,2023-01-04,49,Male,Chandigarh,Online,Amazon,Clothing,Dress,H&M,Black,XL,1,5138,11,Standard Day,60,Express,1,No,Debit Card,4,Not Returned,0,winter,Adult
TXN503550,CUST000991,2023-01-04,59,Male,Hyderabad,Online,Nykaa,Accessories,Cap,Fastrack,Red,S,1,290,7,Standard Day,99,Standard,3,No,Cash on Delivery,3,Not Returned,7,winter,Adult
TXN503866,CUST001802,2023-01-04,32,Male,Indore,Online,Flipkart,Clothing,Saree,Biba,Navy,M,2,14619,7,Standard Day,60,Same Day,0,No,Credit Card,3,Not Returned,22,winter,Adult
TXN503984,CUST002505,2023-01-04,42,Other,Patna,Online,Myntra,Clothing,Kurta,Max,Navy,S,1,1894,2,Standard Day,60,Standard,7,No,Credit Card,2,Not Returned,43,winter,Adult
TXN504099,CUST000928,2023-01-04,52,Male,Kolkata,Online,Myntra,Footwear,Slippers,Bata,Navy,11,1,521,12,Standard Day,40,Express,2,No,Debit Card,3,Not Returned,31,winter,Adult
TXN504482,CUST001770,2023-01-04,48,Female,Jaipur,Online,Amazon,Clothing,T-shirt,Nike,Olive,L,1,2734,9,Standard Day,0,Standard,7,No,UPI,4,Returned,61,winter,Adult
TXN504594,CUST001113,2023-01-04,34,Female,Bhubaneswar,Online,Nykaa,Clothing,Kurta,Biba,Grey,XL,2,6284,2,Standard Day,0,Standard,5,Yes,Net Banking,4,Not Returned,23,winter,Adult
TXN504677,CUST003465,2023-01-04,37,Male,Indore,Offline,In-Store Purchase,Accessories,Wallet,Puma,Red,Free Size,1,1313,17,In-Store Festival Offer,0,N/A (Offline),0,No,Debit Card,4,Returned,6,winter,Adult
TXN506487,CUST001994,2023-01-04,48,Female,Ahmedabad,Online,Ajio,Clothing,Jeans,H&M,Grey,L,1,4057,8,Standard Day,0,Standard,6,Yes,Cash on Delivery,4,Not Returned,12,winter,Adult
TXN506644,CUST002140,2023-01-04,62,Male,Ahmedabad,Online,Flipkart,Clothing,Kurta,Biba,Red,S,1,1422,15,Standard Day,60,Standard,6,No,Credit Card,3,Not Returned,4,winter,Adult
TXN507795,CUST002239,2023-01-04,60,Male,Surat,Online,Flipkart,Footwear,Formal Shoes,Max,Red,8,1,1440,9,Standard Day,60,Same Day,0,No,UPI,3,Not Returned,5,winter,Adult
TXN508067,CUST002310,2023-01-04,57,Female,Kolkata,Online,Flipkart,Footwear,Sneakers,Adidas,Grey,11,1,13168,11,Standard Day,40,Standard,7,No,Net Banking,4,Not Returned,3,winter,Adult
TXN508111,CUST000739,2023-01-04,20,Male,Chennai,Offline,In-Store Purchase,Footwear,Running Shoes,Adidas,White,6,1,3698,17,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Not Returned,22,winter,Young Adult
TXN500626,CUST003190,2023-01-05,46,Male,Indore,Offline,In-Store Purchase,Footwear,Slippers,Zara,White,9,1,288,16,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,1,winter,Adult
TXN501694,CUST003392,2023-01-05,38,Female,Visakhapatnam,Offline,In-Store Purchase,Footwear,Heels,Max,Grey,6,1,749,20,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Not Returned,4,winter,Adult
TXN502633,CUST003397,2023-01-05,47,Male,Visakhapatnam,Offline,In-Store Purchase,Clothing,Hoodie,HRX,White,S,1,766,17,In-Store Festival Offer,0,N/A (Offline),0,No,Debit Card,3,Not Returned,22,winter,Adult
TXN503223,CUST002975,2023-01-05,52,Male,Ahmedabad,Offline,In-Store Purchase,Footwear,Slippers,Zara,Olive,10,1,743,17,In-Store Festival Offer,0,N/A (Offline),0,No,Credit Card,3,Not Returned,1,winter,Adult
TXN503377,CUST002750,2023-01-05,25,Male,Nagpur,Offline,In-Store Purchase,Footwear,Sneakers,HRX,Olive,6,1,6130,27,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,3,Not Returned,8,winter,Young Adult
TXN503944,CUST000985,2023-01-05,39,Male,Lucknow,Offline,In-Store Purchase,Clothing,Saree,FabIndia,Beige,XS,1,12649,27,In-Store Festival Offer,0,N/A (Offline),0,No,Debit Card,3,Not Returned,9,winter,Adult
TXN504187,CUST002132,2023-01-05,46,Male,Chandigarh,Online,Flipkart,Clothing,Jacket,Nike,Black,XXL,1,6001,10,Standard Day,40,Standard,5,No,UPI,4,Not Returned,25,winter,Adult
TXN505166,CUST002296,2023-01-05,27,Female,Nagpur,Online,Myntra,Clothing,Trousers,Zara,Blue,XL,2,4492,4,Standard Day,0,Standard,3,No,Cash on Delivery,3,Returned,0,winter,Adult
TXN505490,CUST002430,2023-01-05,56,Female,Surat,Online,Flipkart,Footwear,Slippers,Hush Puppies,Brown,9,1,601,11,Standard Day,40,Express,2,No,Debit Card,4,Not Returned,5,winter,Adult
TXN506139,CUST001699,2023-01-05,27,Male,Noida,Online,Meesho,Clothing,Jeans,Zara,Green,XXL,1,5774,8,Standard Day,0,Standard,3,Yes,UPI,4,Not Returned,17,winter,Adult
TXN506479,CUST000639,2023-01-05,51,Male,Ahmedabad,Online,Amazon,Clothing,Shorts,Puma,Navy,XS,1,1438,9,Standard Day,0,Standard,7,Yes,Net Banking,2,Not Returned,0,winter,Adult
TXN506982,CUST000033,2023-01-05,29,Male,Mumbai,Online,Amazon,Clothing,Jacket,Puma,Beige,S,3,9288,12,Standard Day,40,Standard,3,No,Wallet,5,Not Returned,0,winter,Adult
TXN507156,CUST001627,2023-01-05,26,Female,Nagpur,Online,Meesho,Clothing,Jeans,Levis,Olive,XS,1,1413,0,Standard Day,0,Standard,7,Yes,UPI,3,Not Returned,32,winter,Adult
TXN507887,CUST002268,2023-01-05,24,Male,Gurgaon,Online,Amazon,Footwear,Formal Shoes,Zara,Beige,6,1,6163,13,Standard Day,60,Standard,7,No,UPI,3,Not Returned,7,winter,Young Adult
TXN507976,CUST001110,2023-01-05,53,Female,Nagpur,Online,Flipkart,Footwear,Formal Shoes,Hush Puppies,Navy,8,2,5112,4,Standard Day,0,Express,1,Yes,Cash on Delivery,5,Not Returned,16,winter,Adult
TXN509267,CUST000300,2023-01-05,30,Male,Ahmedabad,Online,Ajio,Clothing,Kurta,FabIndia,Grey,L,1,4579,11,Standard Day,0,Express,2,Yes,Credit Card,4,Not Returned,21,winter,Adult
TXN500650,CUST000856,2023-01-06,40,Male,Chandigarh,Offline,In-Store Purchase,Clothing,Kurta,Biba,Green,XL,1,1348,19,In-Store Festival Offer,0,N/A (Offline),0,No,Credit Card,4,Not Returned,6,winter,Adult
TXN501202,CUST001226,2023-01-06,21,Female,Mumbai,Online,Meesho,Clothing,Hoodie,Puma,Black,XL,3,8404,10,Standard Day,40,Express,2,No,Wallet,3,Not Returned,7,winter,Young Adult
TXN502222,CUST001704,2023-01-06,30,Female,Lucknow,Offline,In-Store Purchase,Footwear,Running Shoes,Adidas,Beige,9,2,29332,22,In-Store Festival Offer,0,N/A (Offline),0,No,Cash,4,Returned,36,winter,Adult
TXN503283,CUST002053,2023-01-06,59,Female,Gurgaon,Online,Meesho,Clothing,Kurta,Biba,Blue,XL,3,6360,13,Standard Day,40,Standard,3,No,Cash on Delivery,4,Not Returned,1,winter,Adult
TXN504092,CUST000736,2023-01-06,60,Female,Bangalore,Offline,In-Store Purchase,Clothing,Jacket,Allen Solly,Grey,XS,2,13566,16,In-Store Festival Offer,0,N/A (Offline),0,No,Credit Card,3,Not Returned,0,winter,Adult
TXN505726,CUST001507,2023-01-06,45,Female,Gurgaon,Offline,In-Store Purchase,Accessories,Cap,Puma,White,M,1,1241,22,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Not Returned,44,winter,Adult
TXN506486,CUST000603,2023-01-06,49,Male,Bhubaneswar,Online,Ajio,Clothing,T-shirt,HRX,White,L,1,648,8,Standard Day,0,Standard,3,No,Credit Card,3,Not Returned,16,winter,Adult
TXN506718,CUST001929,2023-01-06,45,Other,Surat,Online,Ajio,Clothing,Jeans,Zara,Green,XS,2,6613,1,Standard Day,0,Standard,7,Yes,UPI,3,Returned,1,winter,Adult
TXN508097,CUST003043,2023-01-06,26,Male,Noida,Offline,In-Store Purchase,Clothing,Saree,Max,Olive,M,1,3238,25,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,3,Not Returned,1,winter,Adult
TXN508407,CUST000330,2023-01-06,22,Male,Bhubaneswar,Online,Ajio,Footwear,Heels,Bata,Green,7,2,5856,6,Standard Day,0,Standard,3,Yes,Credit Card,2,Not Returned,21,winter,Young Adult
TXN508755,CUST000737,2023-01-06,57,Female,Lucknow,Online,Amazon,Footwear,Running Shoes,HRX,Beige,9,1,10062,15,Standard Day,40,Standard,3,No,UPI,3,Not Returned,51,winter,Adult
TXN509115,CUST000433,2023-01-06,57,Female,Delhi,Online,Flipkart,Footwear,Sneakers,Adidas,Black,8,1,23752,0,Standard Day,0,Express,2,No,Debit Card,4,Not Returned,4,winter,Adult
TXN509916,CUST002750,2023-01-06,25,Male,Nagpur,Online,Amazon,Clothing,Jacket,Zara,Blue,XS,1,4813,4,Standard Day,60,Express,2,No,Credit Card,3,Not Returned,22,winter,Young Adult
TXN509945,CUST001935,2023-01-06,48,Male,Kolkata,Online,Myntra,Accessories,Wallet,Levis,Olive,Free Size,2,5016,1,Standard Day,0,Standard,6,Yes,Cash on Delivery,2,Returned,0,winter,Adult
TXN500420,CUST001603,2023-01-07,27,Female,Delhi,Offline,In-Store Purchase,Clothing,Kurta,Biba,Brown,XXL,2,1874,13,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,5,Not Returned,20,winter,Adult
TXN500606,CUST002313,2023-01-07,46,Female,Delhi,Online,Myntra,Clothing,Saree,Biba,Beige,XS,1,6951,6,Standard Day,0,Express,2,Yes,UPI,4,Not Returned,4,winter,Adult
TXN501432,CUST001841,2023-01-07,23,Male,Jaipur,Online,Ajio,Clothing,T-shirt,Adidas,White,XS,1,2072,14,Standard Day,0,Standard,7,Yes,Wallet,4,Not Returned,13,winter,Young Adult
TXN501861,CUST002600,2023-01-07,54,Male,Lucknow,Online,Flipkart,Clothing,Kurta,Max,Navy,XS,3,2450,12,Standard Day,0,Express,1,No,Net Banking,4,Not Returned,1,winter,Adult
TXN502031,CUST001013,2023-01-07,25,Female,Bhubaneswar,Online,Ajio,Clothing,Saree,Max,Red,XS,2,5653,8,Standard Day,99,Standard,5,No,Debit Card,3,Returned,1,winter,Young Adult
TXN503214,CUST000027,2023-01-07,19,Female,Kochi,Offline,In-Store Purchase,Clothing,Kurta,Biba,Olive,M,1,815,19,In-Store Festival Offer,0,N/A (Offline),0,No,Cash,4,Returned,5,winter,Young Adult
TXN505755,CUST002986,2023-01-07,23,Female,Visakhapatnam,Online,Meesho,Clothing,T-shirt,Nike,Brown,S,1,2483,14,Standard Day,99,Standard,7,No,UPI,3,Returned,1,winter,Young Adult
TXN506916,CUST000790,2023-01-07,57,Female,Mumbai,Online,Meesho,Clothing,Jeans,Allen Solly,Green,XL,1,3946,11,Standard Day,40,Express,1,No,Cash on Delivery,3,Not Returned,4,winter,Adult
TXN508130,CUST001985,2023-01-07,58,Male,Jaipur,Online,Amazon,Footwear,Heels,Hush Puppies,White,9,3,6490,4,Standard Day,0,Express,2,Yes,UPI,4,Not Returned,0,winter,Adult
TXN500766,CUST001907,2023-01-08,21,Male,Nagpur,Online,Nykaa,Clothing,Saree,Max,Brown,XXL,1,2824,10,Standard Day,0,Standard,5,Yes,Debit Card,3,Not Returned,9,winter,Young Adult
TXN501122,CUST001950,2023-01-08,43,Female,Jaipur,Offline,In-Store Purchase,Clothing,Jacket,Zara,Olive,XXL,1,6071,13,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,16,winter,Adult
TXN501331,CUST003311,2023-01-08,43,Female,Kolkata,Online,Flipkart,Clothing,Dress,Allen Solly,Black,L,1,4200,13,Standard Day,40,Standard,7,No,Credit Card,3,Not Returned,1,winter,Adult
TXN501965,CUST001497,2023-01-08,62,Male,Surat,Online,Myntra,Clothing,Trousers,H&M,Beige,S,1,3398,6,Standard Day,99,Standard,4,No,Cash on Delivery,5,Not Returned,35,winter,Adult
TXN502233,CUST001773,2023-01-08,44,Female,Indore,Offline,In-Store Purchase,Clothing,T-shirt,Puma,Blue,XXL,2,4070,26,In-Store Festival Offer,0,N/A (Offline),0,No,Credit Card,4,Returned,2,winter,Adult
TXN503548,CUST002278,2023-01-08,61,Female,Nagpur,Online,Nykaa,Clothing,Saree,Biba,Brown,XL,2,16842,5,Standard Day,0,Standard,7,No,UPI,3,Not Returned,0,winter,Adult
TXN503859,CUST002031,2023-01-08,45,Male,Visakhapatnam,Online,Ajio,Footwear,Sneakers,Nike,Brown,8,1,27852,12,Standard Day,99,Standard,6,No,UPI,3,Not Returned,50,winter,Adult
TXN504338,CUST002829,2023-01-08,31,Female,Bhubaneswar,Online,Myntra,Clothing,Saree,Biba,Brown,M,1,9486,11,Standard Day,40,Standard,5,No,UPI,5,Not Returned,9,winter,Adult
TXN504641,CUST001764,2023-01-08,42,Male,Mumbai,Online,Nykaa,Footwear,Heels,Zara,Grey,6,1,1587,13,Standard Day,40,Standard,4,No,UPI,3,Not Returned,1,winter,Adult
TXN504776,CUST001026,2023-01-08,23,Male,Kochi,Online,Nykaa,Clothing,Shirt,Max,Grey,L,1,674,37,Republic Day Sale,99,Express,2,No,Credit Card,4,Not Returned,13,winter,Young Adult
TXN505351,CUST002166,2023-01-08,58,Other,Nagpur,Online,Ajio,Clothing,Saree,Biba,Black,XXL,1,5255,11,Standard Day,0,Standard,5,No,Credit Card,4,Not Returned,4,winter,Adult
TXN505498,CUST003150,2023-01-08,26,Female,Visakhapatnam,Online,Ajio,Clothing,Hoodie,Puma,Brown,XXL,1,2208,7,Standard Day,60,Express,1,No,Cash on Delivery,4,Not Returned,42,winter,Adult
TXN505724,CUST000060,2023-01-08,42,Male,Hyderabad,Online,Flipkart,Accessories,Wallet,Tommy Hilfiger,Blue,Free Size,1,1667,8,Standard Day,0,Express,1,No,Credit Card,4,Not Returned,15,winter,Adult
TXN505774,CUST002923,2023-01-08,64,Male,Visakhapatnam,Online,Ajio,Clothing,Saree,Biba,Black,XXL,1,4613,1,Standard Day,0,Express,2,Yes,Debit Card,5,Not Returned,1,winter,Adult
TXN505804,CUST000505,2023-01-08,23,Female,Jaipur,Online,Ajio,Footwear,Boots,Zara,Navy,11,3,11653,7,Standard Day,60,Standard,6,No,UPI,4,Returned,18,winter,Young Adult
TXN505895,CUST002915,2023-01-08,33,Male,Mumbai,Online,Ajio,Clothing,T-shirt,Roadster,Beige,XS,1,476,3,Standard Day,0,Standard,5,Yes,UPI,2,Not Returned,20,winter,Adult
TXN505906,CUST001954,2023-01-08,60,Female,Kochi,Online,Amazon,Clothing,T-shirt,HRX,Blue,M,1,1225,14,Standard Day,40,Standard,3,No,UPI,2,Returned,36,winter,Adult
TXN506218,CUST000599,2023-01-08,42,Female,Lucknow,Offline,In-Store Purchase,Clothing,T-shirt,Puma,Olive,XXL,1,1926,15,In-Store Festival Offer,0,N/A (Offline),0,Yes,UPI,3,Not Returned,1,winter,Adult
TXN506540,CUST003306,2023-01-08,41,Male,Pune,Offline,In-Store Purchase,Footwear,Sandals,Max,Blue,6,1,1316,18,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,3,Not Returned,48,winter,Adult
TXN507769,CUST001846,2023-01-08,33,Male,Surat,Offline,In-Store Purchase,Clothing,T-shirt,Adidas,White,L,1,2884,21,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,3,Not Returned,53,winter,Adult
TXN508512,CUST002411,2023-01-08,43,Male,Surat,Online,Meesho,Accessories,Backpack,Fastrack,Brown,Free Size,1,3173,6,Standard Day,0,Standard,7,Yes,UPI,2,Returned,0,winter,Adult
TXN509887,CUST001846,2023-01-08,33,Male,Surat,Online,Ajio,Footwear,Running Shoes,Puma,Green,10,1,7024,14,Standard Day,0,Express,1,No,UPI,4,Not Returned,32,winter,Adult
TXN500097,CUST003129,2023-01-09,21,Female,Chennai,Offline,In-Store Purchase,Footwear,Heels,Max,Olive,10,1,631,27,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,41,winter,Young Adult
TXN500258,CUST000219,2023-01-09,29,Female,Ahmedabad,Online,Meesho,Footwear,Running Shoes,HRX,White,10,1,8677,9,Standard Day,0,Standard,4,No,Debit Card,3,Not Returned,39,winter,Adult
TXN500611,CUST002046,2023-01-09,20,Female,Bhubaneswar,Online,Flipkart,Footwear,Sandals,Hush Puppies,Red,9,1,3029,8,Standard Day,99,Standard,4,No,UPI,4,Not Returned,1,winter,Young Adult
TXN501587,CUST000244,2023-01-09,61,Female,Jaipur,Online,Nykaa,Footwear,Formal Shoes,Max,Brown,6,2,1668,8,Standard Day,40,Standard,6,No,UPI,2,Returned,30,winter,Adult
TXN501612,CUST002919,2023-01-09,22,Female,Nagpur,Online,Amazon,Clothing,T-shirt,Max,White,S,1,224,3,Standard Day,40,Standard,7,No,UPI,2,Not Returned,7,winter,Young Adult
TXN501799,CUST000672,2023-01-09,31,Female,Kolkata,Offline,In-Store Purchase,Footwear,Sandals,Hush Puppies,Beige,8,1,2835,10,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,1,winter,Adult
TXN501842,CUST000866,2023-01-09,28,Female,Noida,Online,Myntra,Footwear,Running Shoes,Adidas,Blue,9,1,11814,3,Standard Day,0,Standard,7,Yes,UPI,3,Not Returned,13,winter,Adult
TXN502914,CUST000882,2023-01-09,40,Male,Nagpur,Online,Myntra,Clothing,Jacket,Nike,Navy,XS,1,8982,8,Standard Day,0,Standard,6,Yes,Cash on Delivery,3,Not Returned,48,winter,Adult
TXN502999,CUST002305,2023-01-09,54,Male,Delhi,Online,Ajio,Footwear,Slippers,Bata,Beige,10,4,1779,6,Standard Day,0,Express,1,No,UPI,4,Not Returned,27,winter,Adult
TXN503744,CUST000676,2023-01-09,39,Female,Kolkata,Offline,In-Store Purchase,Footwear,Sneakers,Adidas,Olive,9,1,3540,29,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Returned,3,winter,Adult
TXN505990,CUST000813,2023-01-09,37,Female,Patna,Offline,In-Store Purchase,Accessories,Socks,Tommy Hilfiger,Brown,Free Size,1,597,26,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,18,winter,Adult
TXN506608,CUST003066,2023-01-09,40,Female,Chandigarh,Online,Nykaa,Footwear,Heels,Hush Puppies,Olive,7,1,6872,11,Standard Day,40,Standard,3,No,Debit Card,5,Not Returned,8,winter,Adult
TXN506756,CUST000721,2023-01-09,20,Male,Hyderabad,Online,Nykaa,Clothing,Kurta,Biba,Green,L,2,6442,33,Republic Day Sale,0,Standard,3,Yes,Debit Card,4,Not Returned,2,winter,Young Adult
